                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1581,                 3.0486,                 1.1176,                0.00943,                      1,                 0.7487,                0.44626,                 1.0203,                 2.6545,                 1.0339,                0.00012,                0.00012,                0.00012
                      2,                 1.0269,                 1.5918,                0.95499,                0.96311,                 0.9669,                0.95851,                0.69641,                  1.023,                 1.8763,                0.96617,             0.00024713,             0.00024713,             0.00024713
                      3,                   1.04,                 1.0713,                0.97797,                0.96149,                0.79265,                 0.9632,                0.70743,                0.97763,                 1.9242,                0.96314,              0.0003604,              0.0003604,              0.0003604
                      4,                 1.0043,                 1.0068,                0.98481,                0.96198,                0.80335,                0.96293,                0.69422,                 1.0192,                    1.9,                 0.9594,             0.00045981,             0.00045981,             0.00045981
                      5,                 0.9425,                0.92233,                0.97991,                0.96134,                0.78938,                0.96502,                0.66122,                 1.0589,                 1.8888,                 1.0013,             0.00054536,             0.00054536,             0.00054536
                      6,                0.98046,                0.90163,                 1.0184,                0.96098,                0.91215,                0.96239,                0.69281,                 1.0528,                 1.7217,                 1.0625,             0.00061705,             0.00061705,             0.00061705
                      7,                0.92039,                0.84588,                0.99135,                0.96774,                0.95218,                0.97322,                0.69783,                 1.0448,                 1.6486,                 1.0577,             0.00067488,             0.00067488,             0.00067488
                      8,                0.94238,                0.82838,                0.97983,                0.96821,                0.96698,                0.98123,                0.70709,                 1.0099,                 1.5279,                 1.0324,             0.00071885,             0.00071885,             0.00071885
                      9,                0.94124,                0.82905,                 1.0046,                0.98775,                0.85311,                0.98969,                 0.7332,                0.98158,                 1.6407,                 1.0074,             0.00074896,             0.00074896,             0.00074896
                     10,                0.89724,                0.73781,                0.96727,                      1,                0.91753,                0.99489,                0.72198,                 1.0105,                 1.4169,                 1.0303,             0.00076521,             0.00076521,             0.00076521
                     11,                 1.0382,                 1.3773,                 1.0205,                      1,                0.16794,                 0.9513,                0.64444,                 1.0752,                 1.9894,                 1.0848,              0.0007676,              0.0007676,              0.0007676
                     12,                0.91939,                 1.1896,                 1.0171,                0.99736,                      1,                  0.995,                0.76262,                 1.0125,                 1.0725,                 1.1064,             0.00075613,             0.00075613,             0.00075613
                     13,                0.93494,                 1.0552,                 1.0051,                0.99626,                      1,                  0.995,                0.77724,                0.96496,                 1.0108,                 1.0573,              0.0007308,              0.0007308,              0.0007308
                     14,                0.93157,                 1.0407,                 1.0156,                0.99748,                      1,                  0.995,                0.77471,                0.93189,                0.91242,                 1.0349,             0.00069161,             0.00069161,             0.00069161
                     15,                0.96556,                0.97705,                 1.0123,                0.99836,                      1,                  0.995,                  0.775,                0.91316,                0.77495,                 1.0116,               0.000614,               0.000614,               0.000614
                     16,                0.88555,                0.99263,                0.99977,                0.99344,                      1,                0.98984,                0.77392,                0.89428,                0.76726,                 1.0236,               0.000614,               0.000614,               0.000614
                     17,                  0.964,                 1.0055,                 1.0335,                0.98317,                      1,                0.99167,                0.77575,                0.88775,                0.78363,                 1.0283,               0.000515,               0.000515,               0.000515
                     18,                0.88621,                0.98903,                 1.0072,                  0.998,                0.99471,                  0.995,                0.78965,                 0.8388,                0.67594,                 1.0122,               0.000416,               0.000416,               0.000416
                     19,                0.88873,                0.88944,                 1.0184,                 0.9994,                      1,                  0.995,                0.79131,                0.82199,                0.63274,                 1.0024,               0.000317,               0.000317,               0.000317
                     20,                0.85926,                 0.8326,                0.95242,                0.99948,                      1,                  0.995,                0.79077,                 0.8009,                0.60294,                0.99205,               0.000218,               0.000218,               0.000218
